Sample_ID,BarcodeID,Study,Microbe_TRT,Water_TRT,REP,Date,Date2,Source,TRT_row,AbovegroundBiomass,RootBiomass
Mock_Pos,515rcbc150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSM_01,515rcbc1,PSM,Microbe_pos,FRESH,1,NA,NA,NA,NA,6.78,0.359
PSM_03,515rcbc3,PSM,Microbe_pos,FRESH,3,NA,NA,NA,NA,2.44,1.097
PSM_04,515rcbc4,PSM,Microbe_pos,FRESH,4,NA,NA,NA,NA,2.22,0.299
PSM_05,515rcbc5,PSM,Microbe_pos,FRESH,5,NA,NA,NA,NA,0.96,0.034
PSM_06,515rcbc6,PSM,Microbe_pos,FRESH,6,NA,NA,NA,NA,4.48,1.916
PSM_07,515rcbc7,PSM,Microbe_pos,FRESH,7,NA,NA,NA,NA,1.86,0.785
PSM_08,515rcbc8,PSM,Microbe_pos,FRESH,8,NA,NA,NA,NA,2.82,0.305
PSM_09,515rcbc9,PSM,Microbe_pos,FRESH,9,NA,NA,NA,NA,1.14,0.444
PSM_10,515rcbc10,PSM,Microbe_pos,FRESH,10,NA,NA,NA,NA,1.98,0.564
PSM_11,515rcbc11,PSM,Microbe_pos,SALT,1,NA,NA,NA,NA,3.48,0.586
PSM_12,515rcbc12,PSM,Microbe_pos,SALT,2,NA,NA,NA,NA,2.96,1.24
PSM_13,515rcbc13,PSM,Microbe_pos,SALT,3,NA,NA,NA,NA,2.5,0.838
PSM_14,515rcbc14,PSM,Microbe_pos,SALT,4,NA,NA,NA,NA,5.44,4.587
PSM_15,515rcbc15,PSM,Microbe_pos,SALT,5,NA,NA,NA,NA,4.64,0.766
PSM_16,515rcbc16,PSM,Microbe_pos,SALT,6,NA,NA,NA,NA,2.92,0.495
PSM_17,515rcbc17,PSM,Microbe_pos,SALT,7,NA,NA,NA,NA,4.4,3.07
PSM_18,515rcbc18,PSM,Microbe_pos,SALT,8,NA,NA,NA,NA,2.92,0.481
PSM_20,515rcbc20,PSM,Microbe_pos,SALT,10,NA,NA,NA,NA,1.24,0.195
PSM_21,515rcbc21,PSM,Microbe_neg,FRESH,1,NA,NA,NA,NA,4.22,2.152
PSM_22,515rcbc22,PSM,Microbe_neg,FRESH,2,NA,NA,NA,NA,2.22,0.305
PSM_23,515rcbc23,PSM,Microbe_neg,FRESH,3,NA,NA,NA,NA,3.12,0.389
PSM_24,515rcbc24,PSM,Microbe_neg,FRESH,4,NA,NA,NA,NA,2.46,1.505
PSM_26,515rcbc26,PSM,Microbe_neg,FRESH,6,NA,NA,NA,NA,2.4,1.195
PSM_27,515rcbc27,PSM,Microbe_neg,FRESH,7,NA,NA,NA,NA,3.68,1.601
PSM_28,515rcbc28,PSM,Microbe_neg,FRESH,8,NA,NA,NA,NA,1.3,0.74
PSM_29,515rcbc29,PSM,Microbe_neg,FRESH,9,NA,NA,NA,NA,0.8,0.183
PSM_30,515rcbc30,PSM,Microbe_neg,FRESH,10,NA,NA,NA,NA,0.78,0.12
PSM_31,515rcbc31,PSM,Microbe_neg,SALT,1,NA,NA,NA,NA,1.82,0.243
PSM_32,515rcbc32,PSM,Microbe_neg,SALT,2,NA,NA,NA,NA,1.04,0.827
PSM_35,515rcbc35,PSM,Microbe_neg,SALT,5,NA,NA,NA,NA,0.26,0.35
PSM_36,515rcbc36,PSM,Microbe_neg,SALT,6,NA,NA,NA,NA,1.94,0.722
PSM_37,515rcbc37,PSM,Microbe_neg,SALT,7,NA,NA,NA,NA,1.54,NA
PSM_38,515rcbc38,PSM,Microbe_neg,SALT,8,NA,NA,NA,NA,1.98,NA
PSM_39,515rcbc39,PSM,Microbe_neg,SALT,9,NA,NA,NA,NA,1.04,0.359
PSM_40,515rcbc40,PSM,Microbe_neg,SALT,10,NA,NA,NA,NA,3.12,0.575
PSM_41,515rcbc41,PSM,CONTROL,FRESH,1,NA,NA,NA,NA,0.84,0.027
PSM_42,515rcbc42,PSM,CONTROL,FRESH,2,NA,NA,NA,NA,9.8,4.375
PSM_43,515rcbc43,PSM,CONTROL,FRESH,3,NA,NA,NA,NA,4.32,2.021
